Puzzle: 6 hard
Amount: 100
Result details: ./Result/F_reverse_learning_init_population.csv
Maximum Fitness: 629.0

-----Parameters-----
Objective Function Weight = [0.5, 0.5, 0, 0, 0]
C = 2
beta = 6
N = 50
D = 36
lb = 0
ub = 1
t_max = 1000
count = 33
k = 2
reward = [-1, 1]
alpha = 0.1
gamma = 0.6
eps = 0.6
chi = 0.2

-----Results-----
Fitness:
	Minimal = 0.0
	Maximal = 4.0
	Average = 1.35
	Standard Deviation = 0.9526279441628828
Average Performance = 74.03495440729483%
Runtime:
	Average = 10.978399238586427
	Total = 1097.8399238586426
Optimal = 20/100 (20.0%)
Optimal by Preprocessing = 6/100 (6.0%)
Average Preprocessing = 47.11111111111111%

-----Details-----
43.  ID = 10,070,131, Fitness = 0.0000    (Iteration:   93), Runtime = 1.3457 , Preprocessed = 15/36 ( 41.67%), Preprocessed Fitness = 6.0000    , Performance = 100.00%
44.  ID = 10,085,101, Fitness = 1.0000    (Iteration: 1000), Runtime = 11.1084, Preprocessed = 29/36 ( 80.56%), Preprocessed Fitness = 2.0000    , Performance =  50.00%
45.  ID = 10,087,831, Fitness = 1.0000    (Iteration: 1000), Runtime = 12.1390, Preprocessed = 24/36 ( 66.67%), Preprocessed Fitness = 3.0000    , Performance =  66.67%
46.  ID = 10,091,029, Fitness = 2.0000    (Iteration: 1000), Runtime = 13.5387, Preprocessed = 12/36 ( 33.33%), Preprocessed Fitness = 6.0000    , Performance =  66.67%
47.  ID = 10,137,351, Fitness = 1.0000    (Iteration: 1000), Runtime = 13.0060, Preprocessed = 20/36 ( 55.56%), Preprocessed Fitness = 4.0000    , Performance =  75.00%
48.  ID = 10,144,426, Fitness = 3.0000    (Iteration: 1000), Runtime = 13.1621, Preprocessed = 9 /36 ( 25.00%), Preprocessed Fitness = 7.0000    , Performance =  57.14%
49.  ID = 10,152,033, Fitness = 2.0000    (Iteration: 1000), Runtime = 14.2266, Preprocessed = 6 /36 ( 16.67%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
50.  ID = 10,158,551, Fitness = 2.0000    (Iteration: 1000), Runtime = 14.5847, Preprocessed = 11/36 ( 30.56%), Preprocessed Fitness = 6.0000    , Performance =  66.67%
51.  ID = 10,182,657, Fitness = 2.0000    (Iteration: 1000), Runtime = 15.4472, Preprocessed = 5 /36 ( 13.89%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
52.  ID = 10,220,885, Fitness = 2.0000    (Iteration: 1000), Runtime = 15.1650, Preprocessed = 6 /36 ( 16.67%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
