Puzzle: 6 hard
Amount: 100
Result details: ./Result/exploration_with_no_r.csv
Maximum Fitness: 629.0

-----Parameters-----
Objective Function Weight = [0.5, 0.5, 0, 0, 0]
C = 2
beta = 6
N = 50
D = 36
lb = 0
ub = 1
t_max = 1000
count = 33
k = 2
reward = [-1, 1]
alpha = 0.1
gamma = 0.6
eps = 0.6
chi = 0.2

-----Results-----
Fitness:
	Minimal = 0.0
	Maximal = 3.0
	Average = 1.19
	Standard Deviation = 0.8330066026148893
Average Performance = 77.66717325227965%
Runtime:
	Average = 11.819519526958466
	Total = 1181.9519526958466
Optimal = 21/100 (21.0%)
Optimal by Preprocessing = 6/100 (6.0%)
Average Preprocessing = 47.11111111111111%

-----Details-----
13.  ID = 1,343,094 , Fitness = 1.0000    (Iteration: 1000), Runtime = 17.5772, Preprocessed = 11/36 ( 30.56%), Preprocessed Fitness = 6.0000    , Performance =  83.33%
14.  ID = 1,350,652 , Fitness = 1.0000    (Iteration: 1000), Runtime = 20.1281, Preprocessed = 22/36 ( 61.11%), Preprocessed Fitness = 4.0000    , Performance =  75.00%
15.  ID = 1,375,820 , Fitness = 0.0000    (Iteration:    1), Runtime = 0.0160 , Preprocessed = 36/36 (100.00%), Preprocessed Fitness = 0.0000    , Performance =   0.00%
16.  ID = 1,430,637 , Fitness = 2.0000    (Iteration: 1000), Runtime = 16.3058, Preprocessed = 16/36 ( 44.44%), Preprocessed Fitness = 6.0000    , Performance =  66.67%
17.  ID = 1,454,003 , Fitness = 1.0000    (Iteration: 1000), Runtime = 16.5203, Preprocessed = 16/36 ( 44.44%), Preprocessed Fitness = 5.0000    , Performance =  80.00%
18.  ID = 1,470,603 , Fitness = 0.0000    (Iteration:    1), Runtime = 0.0080 , Preprocessed = 36/36 (100.00%), Preprocessed Fitness = 0.0000    , Performance =   0.00%
19.  ID = 1,480,509 , Fitness = 2.0000    (Iteration: 1000), Runtime = 18.7907, Preprocessed = 6 /36 ( 16.67%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
20.  ID = 1,505,558 , Fitness = 2.0000    (Iteration: 1000), Runtime = 17.8526, Preprocessed = 7 /36 ( 19.44%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
21.  ID = 1,554,862 , Fitness = 2.0000    (Iteration: 1000), Runtime = 17.8482, Preprocessed = 7 /36 ( 19.44%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
22.  ID = 1,568,229 , Fitness = 1.0000    (Iteration: 1000), Runtime = 16.2450, Preprocessed = 18/36 ( 50.00%), Preprocessed Fitness = 4.0000    , Performance =  75.00%
23.  ID = 1,589,978 , Fitness = 1.0000    (Iteration: 1000), Runtime = 16.1098, Preprocessed = 20/36 ( 55.56%), Preprocessed Fitness = 5.0000    , Performance =  80.00%
24.  ID = 1,605,903 , Fitness = 3.0000    (Iteration: 1000), Runtime = 17.0880, Preprocessed = 8 /36 ( 22.22%), Preprocessed Fitness = 7.0000    , Performance =  57.14%
