Puzzle: 6 hard
Amount: 100
Result details: ./Result/exploration_with_r.csv
Maximum Fitness: 629.0

-----Parameters-----
Objective Function Weight = [0.5, 0.5, 0, 0, 0]
C = 2
beta = 6
N = 50
D = 36
lb = 0
ub = 1
t_max = 1000
count = 33
k = 2
reward = [-1, 1]
alpha = 0.1
gamma = 0.6
eps = 0.6
chi = 0.2

-----Results-----
Fitness:
	Minimal = 0.0
	Maximal = 4.0
	Average = 1.41
	Standard Deviation = 1.0207350292803714
Average Performance = 73.08763931104357%
Runtime:
	Average = 11.575035581588745
	Total = 1157.5035581588745
Optimal = 20/100 (20.0%)
Optimal by Preprocessing = 6/100 (6.0%)
Average Preprocessing = 47.11111111111111%

-----Details-----
1.   ID = 1,003,822 , Fitness = 1.0000    (Iteration: 1000), Runtime = 12.9948, Preprocessed = 23/36 ( 63.89%), Preprocessed Fitness = 4.0000    , Performance =  75.00%
2.   ID = 1,124,444 , Fitness = 2.0000    (Iteration: 1000), Runtime = 14.8914, Preprocessed = 7 /36 ( 19.44%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
3.   ID = 1,188,236 , Fitness = 3.0000    (Iteration: 1000), Runtime = 14.4549, Preprocessed = 10/36 ( 27.78%), Preprocessed Fitness = 7.0000    , Performance =  57.14%
4.   ID = 1,191,192 , Fitness = 0.0000    (Iteration:    1), Runtime = 0.0000 , Preprocessed = 36/36 (100.00%), Preprocessed Fitness = 0.0000    , Performance =   0.00%
5.   ID = 1,192,723 , Fitness = 3.0000    (Iteration: 1000), Runtime = 13.7020, Preprocessed = 9 /36 ( 25.00%), Preprocessed Fitness = 7.0000    , Performance =  57.14%
6.   ID = 1,194,297 , Fitness = 1.0000    (Iteration: 1000), Runtime = 13.5065, Preprocessed = 16/36 ( 44.44%), Preprocessed Fitness = 5.0000    , Performance =  80.00%
7.   ID = 1,198,412 , Fitness = 2.0000    (Iteration: 1000), Runtime = 12.8390, Preprocessed = 19/36 ( 52.78%), Preprocessed Fitness = 5.0000    , Performance =  60.00%
8.   ID = 1,217,965 , Fitness = 1.0000    (Iteration: 1000), Runtime = 13.7958, Preprocessed = 11/36 ( 30.56%), Preprocessed Fitness = 6.0000    , Performance =  83.33%
9.   ID = 1,253,849 , Fitness = 1.0000    (Iteration: 1000), Runtime = 11.9214, Preprocessed = 20/36 ( 55.56%), Preprocessed Fitness = 4.0000    , Performance =  75.00%
10.  ID = 1,317,605 , Fitness = 1.0000    (Iteration: 1000), Runtime = 14.1903, Preprocessed = 8 /36 ( 22.22%), Preprocessed Fitness = 7.0000    , Performance =  85.71%
11.  ID = 1,332,159 , Fitness = 2.0000    (Iteration: 1000), Runtime = 14.6882, Preprocessed = 11/36 ( 30.56%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
