Puzzle: 6 hard
Amount: 100
Result details: ./Result/k_counter_1.csv
Maximum Fitness: 629.0

-----Parameters-----
Objective Function Weight = [0.5, 0.5, 0, 0, 0]
C = 2
beta = 6
N = 50
D = 36
lb = 0
ub = 1
t_max = 1000
count = 10
k = 2
reward = [-1, 1]
alpha = 0.1
gamma = 0.6
eps = 0.6
chi = 0.2

-----Results-----
Fitness:
	Minimal = 0.0
	Maximal = 2.0
	Average = 0.77
	Standard Deviation = 0.6760917097554149
Average Performance = 86.45643363728468%
Runtime:
	Average = 11.325661160945891
	Total = 1132.5661160945892
Optimal = 37/100 (37.0%)
Optimal by Preprocessing = 6/100 (6.0%)
Average Preprocessing = 47.11111111111111%

-----Details-----
45.  ID = 10,087,831, Fitness = 0.0000    (Iteration:   28), Runtime = 0.4573 , Preprocessed = 24/36 ( 66.67%), Preprocessed Fitness = 3.0000    , Performance = 100.00%
46.  ID = 10,091,029, Fitness = 1.0000    (Iteration: 1000), Runtime = 17.8897, Preprocessed = 12/36 ( 33.33%), Preprocessed Fitness = 6.0000    , Performance =  83.33%
47.  ID = 10,137,351, Fitness = 1.0000    (Iteration: 1000), Runtime = 15.8045, Preprocessed = 20/36 ( 55.56%), Preprocessed Fitness = 4.0000    , Performance =  75.00%
48.  ID = 10,144,426, Fitness = 2.0000    (Iteration: 1000), Runtime = 16.5596, Preprocessed = 9 /36 ( 25.00%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
49.  ID = 10,152,033, Fitness = 2.0000    (Iteration: 1000), Runtime = 17.6254, Preprocessed = 6 /36 ( 16.67%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
50.  ID = 10,158,551, Fitness = 1.0000    (Iteration: 1000), Runtime = 17.4735, Preprocessed = 11/36 ( 30.56%), Preprocessed Fitness = 6.0000    , Performance =  83.33%
51.  ID = 10,182,657, Fitness = 1.0000    (Iteration: 1000), Runtime = 18.8330, Preprocessed = 5 /36 ( 13.89%), Preprocessed Fitness = 7.0000    , Performance =  85.71%
52.  ID = 10,220,885, Fitness = 2.0000    (Iteration: 1000), Runtime = 17.5559, Preprocessed = 6 /36 ( 16.67%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
53.  ID = 10,235,976, Fitness = 0.0000    (Iteration:   24), Runtime = 0.3554 , Preprocessed = 28/36 ( 77.78%), Preprocessed Fitness = 2.0000    , Performance = 100.00%
54.  ID = 10,242,960, Fitness = 2.0000    (Iteration: 1000), Runtime = 18.2396, Preprocessed = 8 /36 ( 22.22%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
55.  ID = 10,291,921, Fitness = 2.0000    (Iteration: 1000), Runtime = 17.6646, Preprocessed = 5 /36 ( 13.89%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
56.  ID = 10,300,640, Fitness = 0.0000    (Iteration:  746), Runtime = 12.2794, Preprocessed = 21/36 ( 58.33%), Preprocessed Fitness = 4.0000    , Performance = 100.00%
57.  ID = 10,402,342, Fitness = 0.0000    (Iteration:    1), Runtime = 0.0156 , Preprocessed = 30/36 ( 83.33%), Preprocessed Fitness = 2.0000    , Performance = 100.00%
58.  ID = 10,443,070, Fitness = 0.0000    (Iteration:  183), Runtime = 2.7507 , Preprocessed = 24/36 ( 66.67%), Preprocessed Fitness = 4.0000    , Performance = 100.00%
59.  ID = 10,481,179, Fitness = 0.0000    (Iteration:   17), Runtime = 0.2546 , Preprocessed = 20/36 ( 55.56%), Preprocessed Fitness = 4.0000    , Performance = 100.00%
60.  ID = 10,508,417, Fitness = 1.0000    (Iteration: 1000), Runtime = 17.6377, Preprocessed = 7 /36 ( 19.44%), Preprocessed Fitness = 7.0000    , Performance =  85.71%
61.  ID = 10,527,286, Fitness = 0.0000    (Iteration:   73), Runtime = 1.1002 , Preprocessed = 22/36 ( 61.11%), Preprocessed Fitness = 5.0000    , Performance = 100.00%
62.  ID = 10,535,581, Fitness = 0.0000    (Iteration:   92), Runtime = 1.3826 , Preprocessed = 25/36 ( 69.44%), Preprocessed Fitness = 3.0000    , Performance = 100.00%
63.  ID = 10,549,902, Fitness = 0.0000    (Iteration:  141), Runtime = 2.0481 , Preprocessed = 22/36 ( 61.11%), Preprocessed Fitness = 4.0000    , Performance = 100.00%
64.  ID = 10,552,573, Fitness = 1.0000    (Iteration: 1000), Runtime = 16.8338, Preprocessed = 17/36 ( 47.22%), Preprocessed Fitness = 5.0000    , Performance =  80.00%
65.  ID = 10,579,331, Fitness = 1.0000    (Iteration: 1000), Runtime = 16.8302, Preprocessed = 17/36 ( 47.22%), Preprocessed Fitness = 5.0000    , Performance =  80.00%
66.  ID = 10,587,298, Fitness = 2.0000    (Iteration: 1000), Runtime = 18.2609, Preprocessed = 8 /36 ( 22.22%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
67.  ID = 10,589,578, Fitness = 0.0000    (Iteration:  487), Runtime = 8.4597 , Preprocessed = 10/36 ( 27.78%), Preprocessed Fitness = 7.0000    , Performance = 100.00%
68.  ID = 10,591,262, Fitness = 1.0000    (Iteration: 1000), Runtime = 17.4492, Preprocessed = 10/36 ( 27.78%), Preprocessed Fitness = 6.0000    , Performance =  83.33%
69.  ID = 10,598,632, Fitness = 2.0000    (Iteration: 1000), Runtime = 19.1796, Preprocessed = 7 /36 ( 19.44%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
70.  ID = 10,611,067, Fitness = 1.0000    (Iteration: 1000), Runtime = 18.2523, Preprocessed = 9 /36 ( 25.00%), Preprocessed Fitness = 7.0000    , Performance =  85.71%
71.  ID = 10,643,789, Fitness = 1.0000    (Iteration: 1000), Runtime = 17.2876, Preprocessed = 10/36 ( 27.78%), Preprocessed Fitness = 6.0000    , Performance =  83.33%
72.  ID = 10,672,197, Fitness = 0.0000    (Iteration:    5), Runtime = 0.0725 , Preprocessed = 23/36 ( 63.89%), Preprocessed Fitness = 5.0000    , Performance = 100.00%
73.  ID = 10,683,662, Fitness = 0.0000    (Iteration:    7), Runtime = 0.0942 , Preprocessed = 28/36 ( 77.78%), Preprocessed Fitness = 2.0000    , Performance = 100.00%
74.  ID = 10,696,087, Fitness = 2.0000    (Iteration: 1000), Runtime = 17.7627, Preprocessed = 6 /36 ( 16.67%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
75.  ID = 10,701,184, Fitness = 1.0000    (Iteration: 1000), Runtime = 17.8978, Preprocessed = 8 /36 ( 22.22%), Preprocessed Fitness = 7.0000    , Performance =  85.71%
76.  ID = 10,713,003, Fitness = 0.0000    (Iteration:    5), Runtime = 0.0587 , Preprocessed = 26/36 ( 72.22%), Preprocessed Fitness = 3.0000    , Performance = 100.00%
77.  ID = 10,754,124, Fitness = 0.0000    (Iteration:    7), Runtime = 0.0786 , Preprocessed = 30/36 ( 83.33%), Preprocessed Fitness = 2.0000    , Performance = 100.00%
78.  ID = 10,781,445, Fitness = 0.0000    (Iteration:    1), Runtime = 0.0000 , Preprocessed = 36/36 (100.00%), Preprocessed Fitness = 0.0000    , Performance =   0.00%
79.  ID = 10,795,215, Fitness = 1.0000    (Iteration: 1000), Runtime = 17.4126, Preprocessed = 15/36 ( 41.67%), Preprocessed Fitness = 5.0000    , Performance =  80.00%
80.  ID = 10,816,466, Fitness = 1.0000    (Iteration: 1000), Runtime = 15.9695, Preprocessed = 17/36 ( 47.22%), Preprocessed Fitness = 5.0000    , Performance =  80.00%
81.  ID = 10,847,337, Fitness = 0.0000    (Iteration:   16), Runtime = 0.2448 , Preprocessed = 23/36 ( 63.89%), Preprocessed Fitness = 4.0000    , Performance = 100.00%
82.  ID = 10,875,569, Fitness = 0.0000    (Iteration:  517), Runtime = 8.4871 , Preprocessed = 20/36 ( 55.56%), Preprocessed Fitness = 4.0000    , Performance = 100.00%
83.  ID = 10,896,847, Fitness = 1.0000    (Iteration: 1000), Runtime = 18.6442, Preprocessed = 10/36 ( 27.78%), Preprocessed Fitness = 6.0000    , Performance =  83.33%
84.  ID = 10,930,056, Fitness = 0.0000    (Iteration:   17), Runtime = 0.2524 , Preprocessed = 28/36 ( 77.78%), Preprocessed Fitness = 2.0000    , Performance = 100.00%
85.  ID = 11,043,803, Fitness = 2.0000    (Iteration: 1000), Runtime = 17.4104, Preprocessed = 13/36 ( 36.11%), Preprocessed Fitness = 6.0000    , Performance =  66.67%
86.  ID = 11,052,019, Fitness = 1.0000    (Iteration: 1000), Runtime = 17.9046, Preprocessed = 8 /36 ( 22.22%), Preprocessed Fitness = 6.0000    , Performance =  83.33%
87.  ID = 11,122,064, Fitness = 1.0000    (Iteration: 1000), Runtime = 18.2081, Preprocessed = 6 /36 ( 16.67%), Preprocessed Fitness = 7.0000    , Performance =  85.71%
88.  ID = 11,142,331, Fitness = 0.0000    (Iteration:    1), Runtime = 0.0156 , Preprocessed = 31/36 ( 86.11%), Preprocessed Fitness = 2.0000    , Performance = 100.00%
89.  ID = 11,156,823, Fitness = 1.0000    (Iteration: 1000), Runtime = 16.6001, Preprocessed = 19/36 ( 52.78%), Preprocessed Fitness = 5.0000    , Performance =  80.00%
90.  ID = 11,244,092, Fitness = 1.0000    (Iteration: 1000), Runtime = 16.7936, Preprocessed = 15/36 ( 41.67%), Preprocessed Fitness = 5.0000    , Performance =  80.00%
91.  ID = 11,257,378, Fitness = 1.0000    (Iteration: 1000), Runtime = 18.5054, Preprocessed = 8 /36 ( 22.22%), Preprocessed Fitness = 7.0000    , Performance =  85.71%
92.  ID = 11,278,191, Fitness = 2.0000    (Iteration: 1000), Runtime = 18.8239, Preprocessed = 5 /36 ( 13.89%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
93.  ID = 11,289,923, Fitness = 1.0000    (Iteration: 1000), Runtime = 17.8610, Preprocessed = 5 /36 ( 13.89%), Preprocessed Fitness = 7.0000    , Performance =  85.71%
94.  ID = 11,296,205, Fitness = 1.0000    (Iteration: 1000), Runtime = 17.3986, Preprocessed = 13/36 ( 36.11%), Preprocessed Fitness = 7.0000    , Performance =  85.71%
95.  ID = 11,296,253, Fitness = 0.0000    (Iteration:   72), Runtime = 1.0817 , Preprocessed = 24/36 ( 66.67%), Preprocessed Fitness = 4.0000    , Performance = 100.00%
96.  ID = 11,302,380, Fitness = 1.0000    (Iteration: 1000), Runtime = 17.4082, Preprocessed = 14/36 ( 38.89%), Preprocessed Fitness = 6.0000    , Performance =  83.33%
97.  ID = 11,318,920, Fitness = 0.0000    (Iteration:  323), Runtime = 5.2018 , Preprocessed = 23/36 ( 63.89%), Preprocessed Fitness = 4.0000    , Performance = 100.00%
98.  ID = 11,365,066, Fitness = 0.0000    (Iteration:   15), Runtime = 0.2223 , Preprocessed = 26/36 ( 72.22%), Preprocessed Fitness = 3.0000    , Performance = 100.00%
99.  ID = 11,377,936, Fitness = 1.0000    (Iteration: 1000), Runtime = 17.7968, Preprocessed = 12/36 ( 33.33%), Preprocessed Fitness = 6.0000    , Performance =  83.33%
100. ID = 11,379,952, Fitness = 0.0000    (Iteration:   24), Runtime = 0.3808 , Preprocessed = 27/36 ( 75.00%), Preprocessed Fitness = 3.0000    , Performance = 100.00%

Seed =
('MT19937', array([1657885550, 2069139075, 1818354181, 2017160750, 4171969381,
        507717264, 2106985589,  354467916, 3539487100,  167885353,
       4043524322, 1576022203, 2166594710, 2092737317,  758084041,
       3145420952, 4276645891,  467243466, 3757548976, 1373827115,
       2758522717, 4040082980, 2286611089,  372274771,  368101861,
